Result (Train) Loss,Test Loss,ExLM Loss
0.12584801018238068,0.12303474545478821,0.1929704248905182
0.21885082125663757,0.21962380409240723,0.19324639439582825
0.22349432110786438,0.2244388312101364,0.22050657868385315
0.22372134029865265,0.22204674780368805,0.1378335803747177
0.22224074602127075,0.22323523461818695,0.14876598119735718
0.16816246509552002,0.15839453041553497,0.14326205849647522
0.21301762759685516,0.20864367485046387,0.12368591874837875
0.22170215845108032,0.22085745632648468,0.12171922624111176
0.22380371391773224,0.222441628575325,0.12651607394218445
0.22299058735370636,0.22209540009498596,0.12536972761154175
0.10128302127122879,0.08942554146051407,0.11628040671348572
0.21537193655967712,0.21702562272548676,0.11434687674045563
0.2180488556623459,0.21951575577259064,0.10884630680084229
0.22295092046260834,0.2243296056985855,0.10510428994894028
0.2220129817724228,0.22257354855537415,0.10230373591184616
0.11094854027032852,0.08829163014888763,0.10564488172531128
0.20704850554466248,0.20444244146347046,0.10196131467819214
0.2203967422246933,0.2213350087404251,0.10706477612257004
0.22258096933364868,0.22364158928394318,0.10678072273731232
0.22331498563289642,0.22512735426425934,0.09949018806219101
0.14476779103279114,0.13854852318763733,0.10024473071098328
0.21231983602046967,0.2183198779821396,0.09611393511295319
0.18640923500061035,0.1808476746082306,0.09689322859048843
0.22230489552021027,0.22292061150074005,0.10310649871826172
0.2216721922159195,0.22210527956485748,0.10226181149482727
